epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.534,1.70622,2.66727,1.94719,0.56194,0.66105,0.59113,0.27864,1.68621,1.53181,1.77306,0.00330601,0.00330601,0.00330601
2,443.507,1.46421,1.71719,1.70425,0.61857,0.4889,0.50414,0.22879,1.78129,1.98769,1.86304,0.00660648,0.00660648,0.00660648
3,513.318,1.5596,1.83716,1.78727,0.19589,0.19427,0.13712,0.05095,2.46167,4.40202,2.64313,0.00987395,0.00987395,0.00987395
4,582.302,1.65138,2.06853,1.87999,0.34764,0.30787,0.23583,0.09805,2.11737,3.97407,2.28594,0.0098515,0.0098515,0.0098515
5,651.979,1.58236,1.93596,1.82084,0.61173,0.46639,0.47145,0.21698,1.84066,2.07167,1.92802,0.009802,0.009802,0.009802
6,720.978,1.53504,1.79153,1.77751,0.67986,0.42109,0.464,0.19261,2.07432,2.33436,2.12913,0.0097525,0.0097525,0.0097525
7,790.436,1.48324,1.69879,1.74098,0.61093,0.57925,0.54518,0.27449,1.63058,1.986,1.7495,0.009703,0.009703,0.009703
8,859.385,1.45708,1.61514,1.71783,0.64701,0.57034,0.58688,0.26419,1.7449,1.69758,1.83058,0.0096535,0.0096535,0.0096535
9,928.536,1.41817,1.51406,1.68125,0.64872,0.63637,0.6357,0.3255,1.68547,1.57728,1.77932,0.009604,0.009604,0.009604
10,997.961,1.38825,1.453,1.6619,0.72961,0.67633,0.71673,0.36729,1.65614,1.36523,1.79603,0.0095545,0.0095545,0.0095545
11,1067.32,1.36346,1.39035,1.6396,0.77864,0.64981,0.69079,0.36132,1.64646,1.366,1.74553,0.009505,0.009505,0.009505
12,1136.76,1.3414,1.33974,1.62191,0.73677,0.68033,0.70203,0.37323,1.60614,1.23501,1.68641,0.0094555,0.0094555,0.0094555
13,1206.08,1.31321,1.27846,1.59421,0.69479,0.69118,0.72704,0.38283,1.55429,1.28135,1.67567,0.009406,0.009406,0.009406
14,1275.35,1.29473,1.23815,1.58357,0.75925,0.67152,0.7069,0.37302,1.59702,1.28608,1.69709,0.0093565,0.0093565,0.0093565
15,1344.44,1.27895,1.21146,1.55786,0.76337,0.67869,0.73335,0.39724,1.53811,1.20671,1.6391,0.009307,0.009307,0.009307
16,1413.49,1.25737,1.17373,1.5418,0.74909,0.6686,0.70726,0.39794,1.49748,1.28056,1.63619,0.0092575,0.0092575,0.0092575
17,1482.91,1.23947,1.14837,1.53801,0.7848,0.68022,0.74275,0.40515,1.50366,1.11278,1.61906,0.009208,0.009208,0.009208
18,1552.25,1.20777,1.10615,1.51934,0.75203,0.69674,0.7405,0.40154,1.54803,1.14196,1.67857,0.0091585,0.0091585,0.0091585
19,1621.64,1.20729,1.10362,1.51058,0.7498,0.66307,0.72063,0.39351,1.56286,1.18167,1.6755,0.009109,0.009109,0.009109
20,1690.67,1.19338,1.06771,1.49681,0.8644,0.64162,0.75996,0.43513,1.45086,1.10615,1.60799,0.0090595,0.0090595,0.0090595
21,1760.02,1.17272,1.03163,1.47911,0.74775,0.73277,0.73566,0.41189,1.57456,1.13752,1.69531,0.00901,0.00901,0.00901
22,1829.01,1.16144,1.00542,1.47664,0.80211,0.70217,0.76912,0.41735,1.54115,1.02942,1.6648,0.0089605,0.0089605,0.0089605
23,1898.03,1.15429,0.99962,1.47122,0.81376,0.69872,0.77923,0.44215,1.50521,1.05846,1.64262,0.008911,0.008911,0.008911
24,1967.48,1.13428,0.95923,1.44446,0.79632,0.67909,0.74537,0.4084,1.60911,1.08428,1.71968,0.0088615,0.0088615,0.0088615
